station_id,elev_min,elev_max,elev_mean,elev_range,mean_slope_pct,upsdist,strdensity,strahler,elongratio,relief,reliefratio,mrvbf_prop_0,mrvbf_prop_1,mrvbf_prop_2,mrvbf_prop_3,mrvbf_prop_4,mrvbf_prop_5,mrvbf_prop_6,mrvbf_prop_7,mrvbf_prop_8,mrvbf_prop_9,confinement
403213A,197,1029.925415,548.4537354,832.925415,19.32,43.0873032,0.6807401,4,0.3986649,0.4256034,0.019454,0.7708,0.0953,0.0856,0.036,0.0123,0,0,0,0,0,0.87
403214,257,1168.910767,486.2961731,911.910767,20.21,21.6084175,0.7490274,3,0.6132557,0.2605755,0.0427227,0.7481,0.0771,0.1095,0.0589,0.0063,0,0,0,0,0,1
403217,345,1554.187744,656.729187,1209.187744,30.66,36.763485,0.8392147,4,0.4131922,0.2774695,0.0337864,0.8885,0.0586,0.0441,0.0088,0,0,0,0,0,0,1
403221,233,899.6567383,454.1972961,666.6567383,10.88,27.7658672,0.9006817,3,0.5854121,0.3447794,0.0244855,0.628,0.1048,0.1708,0.0952,0.0011,0,0,0,0,0,1
403222,345,1578.631348,765.1953735,1233.631348,40.1,36.8047066,0.8499482,4,0.6280345,0.3491113,0.0339557,0.955,0.026,0.0164,0.0026,0,0,0,0,0,0,1
403226,186,849.9615479,460.1502991,663.9615479,18.03,31.8098087,0.7302882,3,0.3705233,0.417269,0.0210293,0.7521,0.0949,0.1013,0.0404,0.0093,0.002,0,0,0,0,0.6
403232,335,1253.068726,714.5800781,918.068726,41.89,23.6891975,0.7753112,4,0.5433216,0.4362389,0.040321,0.9539,0.0208,0.0161,0.0092,0,0,0,0,0,0,1
404207,188,1132.102295,481.7266541,944.102295,15.4,60.0532684,0.7086967,4,0.4008473,0.324721,0.0160378,0.6791,0.0845,0.1009,0.0521,0.03,0.0455,0.0078,0,0,0,0.05
405205,324,1010.461914,669.651123,686.461914,22.35,30.0206203,0.8432883,3,0.3914189,0.5175095,0.0235291,0.8578,0.0851,0.0515,0.0056,0,0,0,0,0,0,1
405209,203,1450.618164,604.5598755,1247.618164,21.71,51.9175339,1.0276332,5,0.5452506,0.3204848,0.0239821,0.7996,0.0821,0.0742,0.0342,0.0099,0,0,0,0,0,1
405215,314,1759.334961,854.1045532,1445.334961,41.03,52.8890228,0.8773918,4,0.4133953,0.3744276,0.02736,0.9658,0.0236,0.0104,0.0002,0,0,0,0,0,0,1
405217,213,952.0526123,452.5422668,739.0526123,16.25,35.8353119,0.7368135,4,0.5980116,0.323513,0.0206051,0.7492,0.1078,0.0963,0.0442,0.0024,0,0,0,0,0,1
405218,319,1724.39563,880.4689331,1405.39563,41.25,56.9680481,0.9007107,4,0.3783096,0.4039844,0.0248551,0.972,0.0195,0.0083,0.0002,0,0,0,0,0,0,1
405219,302,1570.082398,785.3849487,1268.082398,38.89,62.5598869,0.8778589,4,0.4771368,0.3829511,0.0203276,0.9696,0.0209,0.0092,0.0004,0,0,0,0,0,0,1
405226,123,534.4170532,204.0016174,411.4170532,4.05,57.3416824,0.857415,4,0.538784,0.213028,0.007322,0.2881,0.0349,0.0848,0.0762,0.0674,0.1043,0.141,0.2033,0,0,0
405227,297,1450.639893,748.6760864,1153.639893,33.75,58.1626167,0.9030735,5,0.4880038,0.3911958,0.0198241,0.9259,0.0447,0.0264,0.0031,0,0,0,0,0,0,1
405238,254,772.5496826,449.1931458,518.5496826,9.06,30.7124805,0.890491,3,0.4730178,0.3944947,0.017388,0.6143,0.1345,0.1955,0.0547,0.0009,0,0,0,0,0,1
405245,300,737.8383179,405.2695007,437.8383179,7.28,20.5426388,1.139389,4,0.590246,0.2278139,0.0209654,0.4936,0.062,0.1538,0.2043,0.0749,0.01,0.0014,0,0,0,0.28
405248,145,569.8873901,226.5449677,424.8873901,5.35,30.5336246,1.0841141,4,0.6270845,0.1966894,0.013998,0.4404,0.0438,0.1892,0.2092,0.0625,0.0412,0.0137,0,0,0,0
405251,320,956.8057861,544.7337646,636.8057861,15.65,19.4726467,0.6916559,4,0.6419513,0.359298,0.0330287,0.7415,0.1208,0.1044,0.0328,0.0006,0,0,0,0,0,1
405263,417,1454.289429,868.4549561,1037.289429,37.41,35.3457947,0.8509982,4,0.5787534,0.4416288,0.0296834,0.9674,0.0234,0.0089,0.0002,0,0,0,0,0,0,1
405264,462,1434.849121,822.3471069,972.849121,31.7,32.6202354,0.8493441,4,0.6341716,0.3793234,0.0302521,0.9139,0.0505,0.0312,0.0044,0,0,0,0,0,0,1
